t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0.15,0.021522783,0.259368443,0.30771839,-1.162266035,2.009922302,-1.102130844,2.088631599,0.003796948,0.699760327,-5.708376984,0,0,0,0,0,0,0,0
0.151,0.021527885,0.259988252,0.302085378,-1.162266035,2.009922302,-1.099006288,2.088631599,0.004003439,0.689207318,-5.699214565,0,0,0,0,0,0,0,0
0.152,0.021532987,0.26060806,0.296452366,-1.162266035,2.009922302,-1.095881732,2.088631599,0.004209931,0.678654308,-5.690052145,0,0,0,0,0,0,0,0
0.153,0.021538089,0.261227869,0.290819354,-1.162266035,2.009922302,-1.092757176,2.088631599,0.004416423,0.668101298,-5.680889725,0,0,0,0,0,0,0,0
0.154,0.021543191,0.261847677,0.285186342,-1.162266035,2.009922302,-1.08963262,2.088631599,0.004622915,0.657548288,-5.671727305,0,0,0,0,0,0,0,0
0.155,0.021548293,0.262467486,0.27955333,-1.162266035,2.009922302,-1.086508064,2.088631599,0.004829406,0.646995279,-5.662564886,0,0,0,0,0,0,0,0
0.156,0.021553395,0.263087295,0.273920319,-1.162266035,2.009922302,-1.083383508,2.088631599,0.005035898,0.636442269,-5.653402466,0,0,0,0,0,0,0,0
0.157,0.021558497,0.263707103,0.268287307,-1.162266035,2.009922302,-1.080258952,2.088631599,0.00524239,0.625889259,-5.644240046,0,0,0,0,0,0,0,0
0.158,0.021563599,0.264326912,0.262654295,-1.162266035,2.009922302,-1.077134396,2.088631599,0.005448881,0.615336249,-5.635077626,0,0,0,0,0,0,0,0
0.159,0.021568701,0.26494672,0.257021283,-1.162266035,2.009922302,-1.07400984,2.088631599,0.005655373,0.60478324,-5.625915207,0,0,0,0,0,0,0,0
0.16,0.021573804,0.265566529,0.251388271,-1.162266035,2.009922302,-1.070885284,2.088631599,0.005861865,0.59423023,-5.616752787,0,0,0,0,0,0,0,0
0.161,0.021578906,0.266186337,0.245755259,-1.162266035,2.009922302,-1.067760728,2.088631599,0.006068357,0.58367722,-5.607590367,0,0,0,0,0,0,0,0
0.162,0.021584008,0.266806146,0.240122247,-1.162266035,2.009922302,-1.064636172,2.088631599,0.006274848,0.57312421,-5.598427947,0,0,0,0,0,0,0,0
