t,x,y,r,lhx,lhy,lk,rhx,rhy,rk,dx,dy,dr,dlhx,dlhy,dlk,drhx,drhy,drk,ulhx,ulhy,ulk,urhx,urhy,urk
1.342000000000001,-0.33017246234189507,0.4373222771204994,4.675082753249845,0.15872490699301423,-0.9342471154036721,1.8789767718117307,0.05556221430331166,-1.0015213355420176,2.0074607195115446,-0.34408762153520334,-1.2746675541608121,12.188434161517227,-1.2538679478474313,-1.085807003480829,2.0771469028375336,-0.8679836384537648,-0.4721068052193626,0.8999628348958547,-0.4002141697546442,-0.4939817765451911,0.9654103096255915,-0.578619965049705,-0.3840281632808762,0.6773960733797306
1.344000000000001,-0.3308647748751543,0.43475055978393357,4.699477339473815,0.15621931424322083,-0.9364107563241192,1.8831155695491149,0.053841459311122636,-1.0024602432264864,2.0092504609878583,-0.3475695968909941,-1.293016016735563,12.202483011966294,-1.2521072941913216,-1.0794233555352806,2.064741448844355,-0.8557220386805324,-0.46786583976546553,0.8918255866116603,-0.4037885325602689,-0.4937122703350136,0.9651694307775138,-0.5817340843396139,-0.3843946347395519,0.679168250052847
1.346000000000001,-0.3315570874084136,0.4321788424473677,4.723871925697785,0.15371372149342744,-0.9385743972445663,1.887254367286499,0.052120704318933606,-1.0033991509109552,2.011040202464172,-0.3510515722467848,-1.3113644793103139,12.21653186241536,-1.2503466405352122,-1.073039707589732,2.052335994851177,-0.8434604389073002,-0.46362487431156846,0.883688338327466,-0.40736289536589365,-0.49344276412483606,0.9649285519294363,-0.584848203629523,-0.3847611061982276,0.6809404267259633
1.348000000000001,-0.33225041162866736,0.42960188327111526,4.7482704181418,0.15120863074904434,-0.9407362480998065,1.8913896867258557,0.05040340663418489,-1.0043368715973056,2.012827667050393,-0.35453937061277263,-1.3297262579492828,12.230567799175516,-1.2485851103246917,-1.066658592829313,2.039935545590122,-0.8311996085569014,-0.459386129972472,0.8755554852735571,-0.4109371951819504,-0.49317011621307344,0.9646838310933531,-0.5879583415387888,-0.38512777745470395,0.6827123976679591
1.350000000000001,-0.3329764231465755,0.42685556185631757,4.772795119361895,0.14871975964607267,-0.9428402624952005,1.8954126234188058,0.048797813496395996,-1.0052362407371567,2.0145415660134525,-0.358215308658912,-1.3485182745541966,12.244186498592896,-1.2467952589090054,-1.060359324506375,2.027696797694692,-0.8189636380231495,-0.45521914917388845,0.8675646407671425,-0.4145094598243132,-0.49279596088309335,0.9643149767987937,-0.590939842256052,-0.385500904117066,0.684477721500316
1.352000000000001,-0.3337024346644836,0.4241092404415199,4.79731982058199,0.146230888543101,-0.9449442768905945,1.8994355601117556,0.0471922203586071,-1.0061356098770078,2.0162554649765116,-0.36189124670505135,-1.3673102911591102,12.257805198010278,-1.245005407493319,-1.054060056183437,2.0154580497992614,-0.8067276674893975,-0.4510521683753048,0.8595737962607277,-0.4180817244666761,-0.4924218055531133,0.9639461225042343,-0.5939213429733152,-0.38587403077942806,0.686243045332673
1.354000000000001,-0.33442844618239176,0.4213629190267221,4.821844521802085,0.14374201744012935,-0.9470482912859884,1.9034584968047055,0.04558662722081821,-1.007034979016859,2.017969363939571,-0.36556718475119065,-1.3861023077640238,12.271423897427658,-1.2432155560776326,-1.0477607878604989,2.003219301903831,-0.7944916969556455,-0.4468851875767212,0.851582951754313,-0.4216539891090389,-0.49204765022313324,0.9635772682096748,-0.5969028436905784,-0.3862471574417901,0.6880083691650299
1.356000000000001,-0.3351544577002999,0.41861659761192443,4.8463692230221795,0.1412531463371577,-0.9491523056813824,1.9074814334976555,0.04398103408302932,-1.00793434815671,2.01968326290263,-0.36924312279733,-1.4048943243689374,12.28504259684504,-1.2414257046619463,-1.0414615195375607,1.9909805540084007,-0.7822557264218934,-0.4427182067781376,0.8435921072478982,-0.4252262537514018,-0.49167349489315315,0.9632084139151154,-0.5998843444078417,-0.3866202841041522,0.6897736929973869
1.358000000000001,-0.33589203753633085,0.41581156643650957,4.870935237684557,0.13876979120917363,-0.9512369988398882,1.9114668366210865,0.04241320357586993,-1.008820983767994,2.021372749964834,-0.3729637411332767,-1.4238417527735174,12.298508232259811,-1.2396399610792155,-1.0351862223437311,1.9787895689486645,-0.7700158753187439,-0.4385782098779378,0.835654407461341,-0.428798735528122,-0.49126590353996025,0.9627988338025499,-0.6028184228796297,-0.386997466660896,0.6915384219707591
1.360000000000001,-0.3366533043465093,0.41288632274902604,4.895585844629833,0.13629773044183413,-0.9532821303582478,1.9153753870264798,0.04092269480605999,-1.009681546551856,2.0230122518815485,-0.3767758456177142,-1.4431073981601905,12.31166045797801,-1.2378626285837306,-1.0289600077831285,1.9666963817746963,-0.7577680784670404,-0.43449346447554715,0.8278255253604649,-0.4323716619032578,-0.49078984949331156,0.9623058646106035,-0.6056554008489359,-0.3873829539568721,0.6933019329270227
