t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0.069,-0.021285571,0.219025004,-0.457160687,-0.875,2.077176041,-1.2008,2.409,-0.234124173,0.231373221,-3.61704034,0,0,7.967486491,0.990682885,0,0,0,0
0.07,-0.021524257,0.219259094,-0.460893143,-0.87,2.077176041,-1.2004,2.41,-0.231074732,0.230397998,-3.528868551,0,0,7.836659587,0.921628822,0,0,0,0
0.071,-0.021762942,0.219493183,-0.464625599,-0.865,2.077176041,-1.2,2.411,-0.228025291,0.229422775,-3.440696762,0,0,7.705832683,0.852574759,0,0,0,0
0.072,-0.022001627,0.219727273,-0.468358054,-0.86,2.077176041,-1.1996,2.412,-0.22497585,0.228447553,-3.352524973,0,0,7.57500578,0.783520696,0,0,0,0
0.073,-0.022240312,0.219961363,-0.47209051,-0.855,2.077176041,-1.1992,2.413,-0.221926409,0.22747233,-3.264353184,0,0,7.444178876,0.714466633,0,0,0,0
0.074,-0.022478997,0.220195452,-0.475822966,-0.85,2.077176041,-1.1988,2.414,-0.218876968,0.226497107,-3.176181396,0,0,7.313351972,0.645412571,0,0,0,0
0.075,-0.022717682,0.220429542,-0.479555422,-0.845,2.077176041,-1.1984,2.415,-0.215827527,0.225521885,-3.088009607,0,0,7.182525068,0.576358508,0,0,0,0
0.076,-0.022911014,0.220641698,-0.482066714,-0.84,2.077176041,-1.198,2.416,-0.212850402,0.223586946,-3.013382764,0,0,7.026517102,0.537930152,0,0,0,0
0.077,-0.023104346,0.220853854,-0.484578006,-0.835,2.077176041,-1.1976,2.417,-0.209873277,0.221652007,-2.938755922,0,0,6.870509136,0.499501796,0,0,0,0
0.078,-0.023297678,0.221066009,-0.487089299,-0.83,2.077176041,-1.1972,2.418,-0.206896152,0.219717068,-2.864129079,0,0,6.71450117,0.46107344,0,0,0,0
0.079,-0.023491009,0.221278165,-0.489600591,-0.825,2.077176041,-1.1968,2.419,-0.203919027,0.217782129,-2.789502236,0,0,6.558493203,0.422645084,0,0,0,0
0.08,-0.023684341,0.221490321,-0.492111883,-0.82,2.077176041,-1.1964,2.42,-0.200941902,0.21584719,-2.714875394,0,0,6.402485237,0.384216728,0,0,0,0
0.081,-0.023877673,0.221702477,-0.494623176,-0.815,2.077176041,-1.196,2.421,-0.197964777,0.213912251,-2.640248551,0,0,6.246477271,0.345788372,0,0,0,0
0.082,-0.024071005,0.221914633,-0.497134468,-0.81,2.077176041,-1.1956,2.422,-0.194987653,0.211977312,-2.565621709,0,0,6.090469305,0.307360015,0,0,0,0
0.083,-0.024264336,0.222126788,-0.49964576,-0.805,2.077176041,-1.1952,2.423,-0.192010528,0.210042373,-2.490994866,0,0,5.934461339,0.268931659,0,0,0,0
0.084,-0.024457668,0.222338944,-0.502157053,-0.8,2.077176041,-1.1948,2.424,-0.189033403,0.208107434,-2.416368024,0,0,5.778453372,0.230503303,0,0,0,0
0.085,-0.024651,0.2225511,-0.504668345,-0.795,2.077176041,-1.1944,2.425,-0.186056278,0.206172495,-2.341741181,0,0,5.622445406,0.192074947,0,0,0,0
0.086,-0.024844332,0.222763256,-0.507179637,-0.79,2.077176041,-1.194,2.426,-0.183079153,0.204237556,-2.267114338,0,0,5.46643744,0.153646591,0,0,0,0
0.087,-0.025037663,0.222975411,-0.50969093,-0.785,2.077176041,-1.1936,2.427,-0.180102028,0.202302617,-2.192487496,0,0,5.310429474,0.115218235,0,0,0,0
0.088,-0.025230995,0.223187567,-0.512202222,-0.78,2.077176041,-1.1932,2.428,-0.177124903,0.200367678,-2.117860653,0,0,5.154421508,0.076789879,0,0,0,0
